X,Y,OBJECTID,CT_NO,NAME,ADDRESS,CITY,ZIPCODE,POSTMILE_P,POSTMILE,POSTMILE_S,LATITUDE,LONGITUDE,DISTRICT,CO_CODE,COUNTY,ROUTE,REST_AREA,LOCATION,TRAFFICDIR,RESTROOM,WATER,PICNICTAB,PHONE,HANDICAP,RV_STATION,VENDING,PET_AREA
-13293989.9401,4220926.0094,43,90600020,Buttonwillow Safety Roadside Rest Area - Nb,2 Mi N Of Sr 58 Int,Buttonwillow,93206, ,54.1, ,35.418685,-119.421931,6,KER,Kern,5,Buttonwillow,2 mi. N. of Rte. 58 Interchange,N,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13294278.7029,4220702.3996,44,90600021,Buttonwillow Safety Roadside Rest Area - Sb,2 Mi N Of Sr 58 Int,Buttonwillow,93206, ,54.1, ,35.417048,-119.424525,6,KER,Kern,5,Buttonwillow,2 mi. N. of Rte. 58 Interchange,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13370936.7747,4312968.3597,45,90600025,Coalinga - Avenal Safety Roadside Rest Area - Nb,1.2 Mi N Of S Lassen Ave,Avenal,93204, ,1.3, ,36.089676,-120.113156,6,FRE,Fresno,5,Coalinga - Avenal,1.2 mi. N. of Lassen Ave.,N,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13371318.1554,4312950.4514,46,90600026,Coalinga - Avenal Safety Roadside Rest Area - Sb,1.2 Mi N Of S Lassen Ave,Avenal,93204, ,1.4, ,36.089546,-120.116582,6,FRE,Fresno,5,Coalinga - Avenal,1.2 mi. N. of Lassen Avenue,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13232551.1386,4140219.3413,47,90600067,Tejon Pass Safety Roadside Rest Area - Nb,3.5 Mi N Of Gorman,Lebec,93243, ,0.25, ,34.825693,-118.870017,6,KER,Kern,5,Tejon Pass,3.5 mi. N. of Gorman,N,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13232805.0585,4140609.8985,48,90600068,Tejon Pass Safety Roadside Rest Area - Sb,3.5 Mi N Of Gorman,Lebec,93243, ,0.25, ,34.828573,-118.872298,6,KER,Kern,5,Tejon Pass,3.5 mi. N. of Gorman,S,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13282901.9679,4315457.8913,49,90600069,Philip S. Raine Safety Roadside Rest Area - Nb,2.5 Mi N Of Tipton,Tulare,93274, ,22.3, ,36.107746,-119.322326,6,TUL,Tulare,99,Phillip S. Raine,2.5 mi. N. of Tipton,N,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13283169.6912,4315547.4533,50,90600070,Philip S. Raine Safety Roadside Rest Area - Sb,2.5 Mi N Of Tipton,Tulare,93274, ,22.3, ,36.108396,-119.324731,6,TUL,Tulare,99,Phillip S. Raine,2.5 mi. N. of Tipton,S,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13026533.7837,4023185.1733,51,90800044,Brookside Safety Roadside Rest Area - Wb,3 Mi W Of Beaumont,Banning,92220, ,4.2, ,33.958154,-117.019332,8,RIV,Riverside,10,Brookside,3 mi. W. of Beaumont,W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12909203.4626,3985619.2443,52,90800046,Cactus City Safety Roadside Rest Area - Eb,15 Mi E Of Indio, , , ,72, ,33.677789,-115.965336,8,RIV,Riverside,10,Cactus City,15 mi. E. of Indio,W,Yes,Yes,Yes,No,Yes,No,No,Yes
-12908868.9475,3985746.7283,53,90800047,Cactus City Safety Roadside Rest Area - Wb,15 Mi E Of Indio, , , ,72, ,33.678742,-115.962331,8,RIV,Riverside,10,Cactus City,15 mi. E. of Indio,W,Yes,Yes,Yes,No,Yes,No,No,Yes
-12965400.5697,4168163.11,54,90800056,Clyde V. Kane Safety Roadside Rest Area - Nb,30 Mi E Of Barstow,Newberry Springs,92365, ,107.4, ,35.031498,-116.470163,8,SBD,San Bernardino,15,Clyde V. Kane,30 mi. E. of Barstow,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12965455.3391,4168589.1803,55,90800057,Clyde V. Kane Safety Roadside Rest Area - Sb,30 Mi E Of Barstow,Newberry Springs,92365, ,107.4, ,35.034632,-116.470655,8,SBD,San Bernardino,15,Clyde V. Kane,30 mi. E. of Barstow,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12971083.7624,4136941.6585,56,90800065,Desert Oasis Safety Roadside Rest Area - Wb,9 Mi E Of Newberry Springs,Newberry Springs,92365,R,29.3, ,34.801519,-116.521216,8,SBD,San Bernardino,40,Desert Oasis,9 mi. E. of Newberry,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12826129.5069,4137839.3008,57,90800074,John Wilke Safety Roadside Rest Area - Eb,"45 Mi W Of Needles
Near Goffs Rd",Baker,92309, ,105.5, ,34.80814,-115.21907,8,SBD,San Bernardino,40,John Wilkie,45 mi. W. of Needles,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12826179.8233,4138161.3053,58,90800075,John Wilke Safety Roadside Rest Area - Wb,"45 Mi W Of Needles
Near Goffs Rd",Baker,92309, ,105.5, ,34.810515,-115.219522,8,SBD,San Bernardino,40,John Wilkie,45 mi. W. of Needles,W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12879591.4876,4222957.8596,59,90800119,Valley Wells Safety Roadside Rest Area - Eb,"26 Mi W Of Nevada State Line
Near Cima Rd",Nipton,92364, ,161.15, ,35.433558,-115.699327,8,SBD,San Bernardino,15,Valley Wells,26 mi. W. of Nevada State Line,N,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-12879833.9414,4223272.7819,60,90800120,"Valley Wells Safety Roadside Rest Area - Wb
","26 Mi W Of Nevada State Line
Near Cima Rd",Nipton,92364, ,161.15, ,35.435863,-115.701505,8,SBD,San Bernardino,15,Valley Wells,26 mi. W. of Nevada State Line,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-12986964.373,4018266.9196,61,90800127,Whitewater Safety Roadside Rest Area - Eb,1 Mi W Of Whitewater O/C,Palm Springs,92262, ,26.18, ,33.9215,-116.663874,8,RIV,Riverside,10,Whitewater,1 mi. W. of Whitewater O.C.,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12986987.8614,4018484.9182,62,90800128,Whitewater Safety Roadside Rest Area - Wb,1 Mi W Of Whitewater O/C,Palm Springs,92262, ,26.18, ,33.923125,-116.664085,8,RIV,Riverside,10,Whitewater,1 mi. W. of Whitewater O.C.,W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13032937.2164,4030424.3136,63,90800129,Wildwood Safety Roadside Rest Area - Eb,"E Of Ave F I/C
1 Mi W Of Calimesa",Beaumont,92223, ,38.16, ,34.012076,-117.076855,8,SBD,San Bernardino,10,Wildwood,1 mi. W. of Calimesa,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12790692.0429,3976611.0751,64,90800130,Wiley'S Well Safety Roadside Rest Area - Eb & Wb,15 Mi W Of Blythe,Blythe,92225, ,135, ,33.610422,-114.90073,8,RIV,Riverside,10,Wiley's Well,15 mi. W. of Blythe,E & W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13129724.0958,4306788.5114,65,90900017,Coso Jct Safety Roadside Rest Area Nb & Sb,"17 Mi S Of Sr 395/190 Jct
(East Side)",Olancha,93545, ,17.7, ,36.044802,-117.946306,9,INY,Inyo,395,Coso Junction,17 mi. S. of Jct. Rte. 395/190,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13243598.0739,4541513.9711,66,90900020,Crestview Safety Roadside Rest Area Nb & Sb,"6.4 Mi N Of Sr 203/395 Jct
(West Side)",June Lake,93529, ,32.2, ,37.731133,-118.969253,9,MNO, Mono,395,Crestview,6.4 mi. N. of Jct. 203,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13162295.7493,4431538.9796,67,90900023,Division Creek Safety Roadside Rest Area Nb & Sb,"10 Mi N. Of Independence
(East Side)",Independence,93526,R,83.9, ,36.945682,-118.238902,9,INY,Inyo,395,Division Creek,10 mi. N. of Independence,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13445419.6648,4420253.0421,68,91000030,"John "" Chuck"" Erreca Safety Roadside Rest Area - Nb",0.7 Mi N Of Fresno - Merced Co Line,Firebaugh,93622, ,0.7, ,36.864613,-120.782247,10,MER,Merced,5,"John ""Chuck"" Erreca",0.7 mi. N. of Fresno Co. Line,N,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13445593.1006,4419950.0001,69,91000031,"John "" Chuck"" Erreca Safety Roadside Rest Area  - Sb",0.7 Mi N Of Fresno Co Line,Firebaugh,93622, ,0.7, ,36.862435,-120.783805,10,MER,Merced,5,"John ""Chuck"" Erreca",0.7 mi. N. of Fresno Co. Line,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13450359.4753,4504303.4228,70,91000078,Enoch Christoffersen Safety Roadside Rest Area - Nb,2.3 Mi S Of Turlock,Turlock,95380, ,0.5, ,37.466292,-120.826622,10,STA,Stanislaus,99,Enoch Christoffersen,2.3 mi.S. of Turlock,N,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13450463.8931,4504016.6118,71,91000079,Enoch Christoffersen Safety Roadside Rest Area - Sb,2.3 Mi S Of Turlock,Turlock,95380, ,0.5, ,37.464247,-120.82756,10,STA,Stanislaus,99,Enoch Christoffersen,2.3 mi.S. of Turlock,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13505545.6777,4520817.0603,72,91000082,Westley Safety Roadside Rest Area - Nb,0.9 Mi S Of San Joaquin - Stanislaus Co Line,Tracy,95376, ,27.2, ,37.583942,-121.322368,10,STA,Stanislaus,5,Westley,0.9 mi. S. of San Joaquin Co. Line,N,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13505682.4894,4520438.6322,73,91000083,Westley Safety Roadside Rest Area - Sb,0.9 Mi S Of San Joaquin - Stanislaus Co Line,Tracy,95376, ,27.2, ,37.581248,-121.323597,10,STA,Stanislaus,5,Westley,0.9 mi. S. of San Joaquin Co. Line,S,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13072932.3062,3931059.7357,74,91100003,Aliso Creek Safety Roadside Rest Area - Nb,5.8 Mi N. Of Oceanside,Oceanside,92054, ,0, ,33.268964,-117.436137,11,SD,San Diego,5,Aliso Creek,5.8 mi.N. of Oceanside,N,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-13073778.7797,3931469.816,75,91100004,Aliso Creek Safety Roadside Rest Area - Sb,5.8 Mi N. Of Oceanside,Oceanside,92054, ,0, ,33.272044,-117.443741,11,SD,San Diego,5,Aliso Creek,5.8 mi. N. of Oceanside,S,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-12966928.8551,3863231.2597,76,91100012,"Buckman Springs Safety Roadside Rest Area
Eb & Wb",3.3 Mi E. Of Pine Valley,Pine Valley,92062, ,0, ,32.758032,-116.483892,11,SD,San Diego,8,Buckman Springs,3.3 mi. E. of Pine Valley,E & W,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
-12789533.3109,3860502.7488,77,91100067,Sand Hills Safety Roadside Rest Area - Eb & Wb,20 Mi W Of The Arizona State Line, , , ,0, ,32.737417,-114.890321,11,IMP,Imperial,8,Sand Hills,20 mi. W. of Arizona State Line,E & W,Yes,Yes,N,N,Yes,No,No,N
-12876309.6529,3865262.1504,78,91100074,Sunbeam Safety Roadside Rest Area - Eb,6 Mi W Of El Centro,El Centro,92243,R,31.3, ,32.773373,-115.669846,11,IMP,Imperial,8,Sunbeam,6 mi. W. of El Centro,E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
-12876218.4822,3865431.6164,79,91100075,Sunbeam Safety Roadside Rest Area - Wb,6 Mi W Of El Centro,El Centro,92243,R,31.3, ,32.774653,-115.669027,11,IMP,Imperial,8,Sunbeam,6 mi. W. of El Centro,W,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
-12859737.2972,3906270.465,80,91100081,Two Rivers Safety Roadside Rest Area - Nb & Sb,2.5 Mi S Of Calipatria,Calipatria,92233, ,0, ,33.082577,-115.520974,11,IMP,Imperial,111,Two Rivers,2.5 mi. S. of Calipatria,N & S,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
-13304985.6476,4368544.3496,81,90600107,C. H. Warlow Safety Roadside Rest Area Nb & Sb,@ Dodge Ave Near Kings River,Kingsburg,93631, ,51.8, ,36.492079,-119.520707,6,TUL,Tulare,99,C. H. Warlow,At Dodge Ave. Near Kings River,N & S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13611071.9337,4905314.6852,82,99900178,Herbert S. Miles Safety Roadside Rest Area - Sb,"1 Mile South Of Exit 657, Near Red Bluff.",Red Bluff,96080, ,34.7, ,40.270398,-122.270326,2,TEH,Tehama,5,Herbert S. Miles,4.4 mi. N. of Red Bluff,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13603402.3485,4858384.9002,83,99900228,Lt. John C. Helmick Safety Roadside Rest Area - Sb,At Exit 633.,Corning,96021, ,10.5, ,39.947969,-122.201429,2,TEH,Tehama,5,LT John C. Helmick,1.3 mi. N. of Corning Road,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13631835.3795,5083054.0926,84,99900230,Weed Airport Safety Roadside Rest Area - Sb,At Exit 753.,Weed,96094, ,25.8, ,41.477657,-122.456847,2,SIS,Siskiyou,5,Weed Airport,6. Mi. N. of Weed,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13479690.8741,4951576.8964,85,99900235,Bogard Safety Roadside Rest Area - Eb & Wb,31.5 Miles East Of Sr89 & 14.5 Miles West Of Sr36.,Susanville,96130, ,14.5, ,40.586743,-121.09011,2,LAS,Lassen,44,Bogard,28 mi. N.W. of Susanville,E & W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13616325.6662,4981941.1239,86,90200131,O'Brien Safety Roadside Rest Area - Nb,"2 Miles North Of Exit 692, Near Shasta Lake City",Shasta Lake,96001,R,31.1, ,40.793567,-122.317521,2,SHA,Shasta,5,O'Brien,"15 mi. N. of Redding, Shasta County",N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12971489.856,4136764.3369,87,99902875,Desert Oasis Safety Roadside Rest Area - Eb,9 Mi E Of Newberry Springs,Newberry Springs,92365,R,29.11, ,34.800211,-116.524864,8,SBD,San Bernardino,40,Desert Oasis,9 mi. E. of Newberry,W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
